,Date,Original premiere,Directors,Normalised title,Composer,Multiple bill,Multiple bill,Season,Occasion,Language,Dutch,German
0,1893-10-03,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,False,1893-1894,N,German,False,True
1,1893-10-05,1971,Edward Keurvels & Henry Fontaine,Willem Tell,Carl Reinecke,False,False,1893-1894,N,German,False,True
2,1893-10-10,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,False,1893-1894,N,German,False,True
3,1893-10-12,1971,Edward Keurvels & Henry Fontaine,Willem Tell,Carl Reinecke,False,False,1893-1894,N,German,False,True
4,1893-11-16,?,Edward Keurvels & Henry Fontaine,Charlotte Corday,Peter Benoit,False,False,1893-1894,N,Dutch,True,False
5,1893-10-17,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,False,1893-1894,N,German,False,True
6,1893-10-19,?,Edward Keurvels & Henry Fontaine,Charlotte Corday,Peter Benoit,False,False,1893-1894,N,Dutch,True,False
7,1893-10-24,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,False,1893-1894,N,German,False,True
8,1893-10-26,?,Edward Keurvels & Henry Fontaine,Charlotte Corday,Peter Benoit,False,False,1893-1894,N,Dutch,True,False
9,1893-10-31,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,False,1893-1894,N,German,False,True
10,1893-11-02,1887,Edward Keurvels & Henry Fontaine,Parisina,Edward Keurvels,False,False,1893-1894,N,Dutch,True,False
11,1893-11-07,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,False,1893-1894,N,German,False,True
12,1893-11-09,1887,Edward Keurvels & Henry Fontaine,Parisina,Edward Keurvels,False,False,1893-1894,N,Dutch,True,False
13,1893-11-14,1894,Edward Keurvels & Henry Fontaine,Leiden Ontzet,Cis Van der Linden,False,False,1893-1894,N,Dutch,True,False
14,1893-11-21,1894,Edward Keurvels & Henry Fontaine,Leiden Ontzet,Cis Van der Linden,False,False,1893-1894,N,Dutch,True,False
15,1893-11-23,1821,Edward Keurvels & Henry Fontaine,Preciosa,Carl Maria von Weber,False,False,1893-1894,N,German,False,True
16,1893-11-30,1821,Edward Keurvels & Henry Fontaine,Preciosa,Carl Maria von Weber,False,False,1893-1894,N,German,False,True
17,1893-12-05,1894,Edward Keurvels & Henry Fontaine,Leiden Ontzet,Cis Van der Linden,False,False,1893-1894,N,Dutch,True,False
18,1893-12-12,1894,Edward Keurvels & Henry Fontaine,Leiden Ontzet,Cis Van der Linden,False,False,1893-1894,N,Dutch,True,False
19,1893-12-14,1890,Edward Keurvels & Henry Fontaine,Pelops,Fibich ZdenÄk,False,False,1893-1894,N,other,False,False
20,1893-12-19,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,False,1893-1894,N,German,False,True
21,1893-12-21,1890,Edward Keurvels & Henry Fontaine,Tantalus,ZdenÄk Fibich,False,False,1893-1894,N,other,False,False
22,1893-12-26,1875,Edward Keurvels & Henry Fontaine,Liederik,Joseph Mertens,False,False,1893-1894,N,Dutch,True,False
23,1893-12-28,1890,Edward Keurvels & Henry Fontaine,Tantalus,ZdenÄk Fibich,False,False,1893-1894,N,other,False,False
24,1894-01-02,1875,Edward Keurvels & Henry Fontaine,Liederik,Joseph Mertens,False,False,1893-1894,N,Dutch,True,False
25,1894-01-04,1890,Edward Keurvels & Henry Fontaine,Tantalus,ZdenÄk Fibich,False,False,1893-1894,N,other,False,False
26,1894-01-09,1875,Edward Keurvels & Henry Fontaine,Liederik,Joseph Mertens,True,True,1893-1894,N,Dutch,True,False
27,1894-01-09,?,Edward Keurvels & Henry Fontaine,Concert van nationale werken,?,True,True,1893-1894,N,other,False,False
28,1894-01-11,1890,Edward Keurvels & Henry Fontaine,Tantalus,ZdenÄk Fibich,False,False,1893-1894,N,other,False,False
29,1894-01-16,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,False,1893-1894,N,German,False,True
30,1894-01-18,1890,Edward Keurvels & Henry Fontaine,Pelops,Fibich ZdenÄk,False,False,1893-1894,N,other,False,False
31,1894-01-23,1875,Edward Keurvels & Henry Fontaine,Liederik,Joseph Mertens,False,False,1893-1894,N,Dutch,True,False
32,1894-01-25,1890,Edward Keurvels & Henry Fontaine,Tantalus,ZdenÄk Fibich,False,False,1893-1894,N,other,False,False
33,1894-02-01,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,False,1893-1894,N,other,False,False
34,1894-02-06,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,False,1893-1894,N,other,False,False
