Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors
K.V.O. programmas 1893-97_00005-20211201_113354.jpg,1893-1897,De Vrijschutter,1893-10-03,Eerste vertoning,False,466791,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freisch¸tz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00009-20211201_113438.jpg,1893-1897,Willem Tell,1893-10-05,Eerste vertoning,False,445919,Willem Tell,DUI,Carl Reinecke,1971,Musik zu Schiller's Wilhelm Tell,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00011-20211201_113452.jpg,1893-1897,De Vrijschutter,1893-10-10,,False,845496,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freisch¸tz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00013-20211201_113512.jpg,1893-1897,Willem Tell,1893-10-12,,False,205093,Willem Tell,DUI,Carl Reinecke,1971,Musik zu Schiller's Wilhelm Tell,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00015-20211201_113528.jpg,1893-1897,Charlotte Corday,1893-11-16,,False,854224,Charlotte Corday,NL,Peter Benoit,?,Charlotte Corday,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00017-20211201_113547.jpg,1893-1897,De Vrijschutter,1893-10-17,,False,905656,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freisch¸tz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00019-20211201_113606.jpg,1893-1897,Charlotte Corday,1893-10-19,,False,958621,Charlotte Corday,NL,Peter Benoit,?,Charlotte Corday,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00023-20211201_113639.jpg,1893-1897,De Vrijschutter,1893-10-24,,False,147318,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freisch¸tz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00025-20211201_113654.jpg,1893-1897,Charlotte Corday,1893-10-26,,False,204874,Charlotte Corday,NL,Peter Benoit,?,Charlotte Corday,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00027-20211201_113712.jpg,1893-1897,De Vrijschutter,1893-10-31,,False,395075,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freisch¸tz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00029-20211201_113749.jpg,1893-1897,Parisina,1893-11-02,,False,507518,Parisina,NL,Edward Keurvels,1887,Parisina,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00033-20211201_113824.jpg,1893-1897,De Vrijschutter,1893-11-07,,False,392522,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freisch¸tz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00035-20211201_113845.jpg,1893-1897,Parisina,1893-11-09,,False,417443,Parisina,NL,Edward Keurvels,1887,Parisina,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00037-20211201_113904.jpg,1893-1897,Leiden Ontzet,1893-11-14,,False,959498,Leiden Ontzet,NL,Cis Van der Linden,1894,Leiden Ontzet,zangspel,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00039-20211201_113923.jpg,1893-1897,Leiden Ontzet,1893-11-21,,False,824914,Leiden Ontzet,NL,Cis Van der Linden,1894,Leiden Ontzet,zangspel,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00041-20211201_113947.jpg,1893-1897,Preciosa,1893-11-23,,False,225830,Preciosa,DUI,Carl Maria von Weber,1821,Preciosa,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00045-20211201_114017.jpg,1893-1897,Preciosa,1893-11-30,,False,355793,Preciosa,DUI,Carl Maria von Weber,1821,Preciosa,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00047-20211201_114041.jpg,1893-1897,Leiden Ontzet,1893-12-05,,False,383413,Leiden Ontzet,NL,Cis Van der Linden,1894,Leiden Ontzet,zangspel,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00049-20211201_114057.jpg,1893-1897,Leiden Ontzet,1893-12-12,,False,129054,Leiden Ontzet,NL,Cis Van der Linden,1894,Leiden Ontzet,zangspel,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00051-20211201_114113.jpg,1893-1897,Pelops,1893-12-14,,False,201359,Pelops,TSJ,Fibich Zdenƒõk,1890,N‡mluvy Pelopovy,romantic opera,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00053-20211201_114128.jpg,1893-1897,De Vrijschutter,1893-12-19,,False,647909,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freisch¸tz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00055-20211201_114154.jpg,1893-1897,Tantalus,1893-12-21,Eerste vertoning,False,596789,Tantalus,TSJ,Zdenƒõk Fibich,1890,Sm√≠r Tantal≈Øv,?,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00057-20211201_114218.jpg,1893-1897,Liederik,1893-12-26,Eerste vertoning,False,139699,Liederik,NL,Joseph Mertens,1875,Liederik de rentmeester,zangspel,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00059-20211201_114236.jpg,1893-1897,Tantalus,1893-12-28,,False,614160,Tantalus,TSJ,Zdenƒõk Fibich,1890,Sm√≠r Tantal≈Øv,?,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00061-20211201_114252.jpg,1893-1897,Liederik,1894-01-02,,False,304363,Liederik,NL,Joseph Mertens,1875,Liederik de rentmeester,zangspel,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00063-20211201_114312.jpg,1893-1897,Tantalus,1894-01-04,,False,616259,Tantalus,TSJ,Zdenƒõk Fibich,1890,Sm√≠r Tantal≈Øv,?,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00065-20211201_114329.jpg,1893-1897,Liederik,1894-01-09,,True,147048,Liederik,NL,Joseph Mertens,1875,Liederik de rentmeester,zangspel,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00065-20211201_114329.jpg,1893-1897,Concert van nationale werken,1894-01-09,,True,147048,Concert van nationale werken,?,?,?,?,concert,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00069-20211201_114407.jpg,1893-1897,Tantalus,1894-01-11,,False,973634,Tantalus,TSJ,Zdenƒõk Fibich,1890,Sm√≠r Tantal≈Øv,?,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00071-20211201_114425.jpg,1893-1897,De Vrijschutter,1894-01-16,Buitengewone vertoning ter Benifice van M. Lod. Leysen,False,274919,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freisch¸tz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00073-20211201_114447.jpg,1893-1897,Pelops,1894-01-18,,False,960380,Pelops,TSJ,Fibich Zdenƒõk,1890,N‡mluvy Pelopovy,romantic opera,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00075-20211201_114513.jpg,1893-1897,Liederik,1894-01-23,,False,958984,Liederik,NL,Joseph Mertens,1875,Liederik de rentmeester,zangspel,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00079-20211201_114550.jpg,1893-1897,Tantalus,1894-01-25,,False,535174,Tantalus,TSJ,Zdenƒõk Fibich,1890,Sm√≠r Tantal≈Øv,?,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00081-20211201_114641.jpg,1893-1897,De Vliegende Hollander,1894-02-01,Eerste vertoning,False,888402,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00083-20211201_114701.jpg,1893-1897,De Vliegende Hollander,1894-02-06,,False,566488,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00083-20211201_114701.jpg,1893-1897,De Vliegende Hollander,1894-02-08,,False,439743,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00085-20211201_114719.jpg,1893-1897,De Vrijschutter,1894-02-13,Ter benificie van Mej. Maria Levering,False,820796,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freisch¸tz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00087-20211201_114747.jpg,1893-1897,De Vliegende Hollander,1894-02-15,,False,464522,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00091-20211201_114827.jpg,1893-1897,Mellusina,1894-02-23,Eerste vertoning,False,540010,Mellusina,NL,Emiel Wambach,?,Mellusina. Een Lentedroom,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00093-20211201_114845.jpg,1893-1897,De Vliegende Hollander,1894-02-27,Ter benificie van Albert Baets,False,124898,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00095-20211201_114902.jpg,1893-1897,Mellusina,1894-03-01,,False,820711,Mellusina,NL,Emiel Wambach,?,Mellusina. Een Lentedroom,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00097-20211201_114923.jpg,1893-1897,Mellusina,1894-03-06,,False,311603,Mellusina,NL,Emiel Wambach,?,Mellusina. Een Lentedroom,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
