Performances_ID,Image,Collection,Production,Date,Original language,Huis
466791,K.V.O. programmas 1893-97_00005-20211201_113354.jpg,1893-1897,De Vrijschutter,1893-10-03,DUI,Nederlandsch Lyrisch Tooneel
445919,K.V.O. programmas 1893-97_00009-20211201_113438.jpg,1893-1897,Willem Tell,1893-10-05,DUI,Nederlandsch Lyrisch Tooneel
845496,K.V.O. programmas 1893-97_00011-20211201_113452.jpg,1893-1897,De Vrijschutter,1893-10-10,DUI,Nederlandsch Lyrisch Tooneel
205093,K.V.O. programmas 1893-97_00013-20211201_113512.jpg,1893-1897,Willem Tell,1893-10-12,DUI,Nederlandsch Lyrisch Tooneel
854224,K.V.O. programmas 1893-97_00015-20211201_113528.jpg,1893-1897,Charlotte Corday,1893-11-16,NL,Nederlandsch Lyrisch Tooneel
905656,K.V.O. programmas 1893-97_00017-20211201_113547.jpg,1893-1897,De Vrijschutter,1893-10-17,DUI,Nederlandsch Lyrisch Tooneel
958621,K.V.O. programmas 1893-97_00019-20211201_113606.jpg,1893-1897,Charlotte Corday,1893-10-19,NL,Nederlandsch Lyrisch Tooneel
147318,K.V.O. programmas 1893-97_00023-20211201_113639.jpg,1893-1897,De Vrijschutter,1893-10-24,DUI,Nederlandsch Lyrisch Tooneel
204874,K.V.O. programmas 1893-97_00025-20211201_113654.jpg,1893-1897,Charlotte Corday,1893-10-26,NL,Nederlandsch Lyrisch Tooneel
395075,K.V.O. programmas 1893-97_00027-20211201_113712.jpg,1893-1897,De Vrijschutter,1893-10-31,DUI,Nederlandsch Lyrisch Tooneel
507518,K.V.O. programmas 1893-97_00029-20211201_113749.jpg,1893-1897,Parisina,1893-11-02,NL,Nederlandsch Lyrisch Tooneel
392522,K.V.O. programmas 1893-97_00033-20211201_113824.jpg,1893-1897,De Vrijschutter,1893-11-07,DUI,Nederlandsch Lyrisch Tooneel
417443,K.V.O. programmas 1893-97_00035-20211201_113845.jpg,1893-1897,Parisina,1893-11-09,NL,Nederlandsch Lyrisch Tooneel
959498,K.V.O. programmas 1893-97_00037-20211201_113904.jpg,1893-1897,Leiden Ontzet,1893-11-14,NL,Nederlandsch Lyrisch Tooneel
824914,K.V.O. programmas 1893-97_00039-20211201_113923.jpg,1893-1897,Leiden Ontzet,1893-11-21,NL,Nederlandsch Lyrisch Tooneel
225830,K.V.O. programmas 1893-97_00041-20211201_113947.jpg,1893-1897,Preciosa,1893-11-23,DUI,Nederlandsch Lyrisch Tooneel
355793,K.V.O. programmas 1893-97_00045-20211201_114017.jpg,1893-1897,Preciosa,1893-11-30,DUI,Nederlandsch Lyrisch Tooneel
383413,K.V.O. programmas 1893-97_00047-20211201_114041.jpg,1893-1897,Leiden Ontzet,1893-12-05,NL,Nederlandsch Lyrisch Tooneel
129054,K.V.O. programmas 1893-97_00049-20211201_114057.jpg,1893-1897,Leiden Ontzet,1893-12-12,NL,Nederlandsch Lyrisch Tooneel
201359,K.V.O. programmas 1893-97_00051-20211201_114113.jpg,1893-1897,Pelops,1893-12-14,TSJ,Nederlandsch Lyrisch Tooneel
647909,K.V.O. programmas 1893-97_00053-20211201_114128.jpg,1893-1897,De Vrijschutter,1893-12-19,DUI,Nederlandsch Lyrisch Tooneel
596789,K.V.O. programmas 1893-97_00055-20211201_114154.jpg,1893-1897,Tantalus,1893-12-21,TSJ,Nederlandsch Lyrisch Tooneel
139699,K.V.O. programmas 1893-97_00057-20211201_114218.jpg,1893-1897,Liederik,1893-12-26,NL,Nederlandsch Lyrisch Tooneel
614160,K.V.O. programmas 1893-97_00059-20211201_114236.jpg,1893-1897,Tantalus,1893-12-28,TSJ,Nederlandsch Lyrisch Tooneel
304363,K.V.O. programmas 1893-97_00061-20211201_114252.jpg,1893-1897,Liederik,1894-01-02,NL,Nederlandsch Lyrisch Tooneel
616259,K.V.O. programmas 1893-97_00063-20211201_114312.jpg,1893-1897,Tantalus,1894-01-04,TSJ,Nederlandsch Lyrisch Tooneel
147048,K.V.O. programmas 1893-97_00065-20211201_114329.jpg,1893-1897,Liederik + Concert van nationale werken,1894-01-09,NL ; ?,Nederlandsch Lyrisch Tooneel
973634,K.V.O. programmas 1893-97_00069-20211201_114407.jpg,1893-1897,Tantalus,1894-01-11,TSJ,Nederlandsch Lyrisch Tooneel
274919,K.V.O. programmas 1893-97_00071-20211201_114425.jpg,1893-1897,De Vrijschutter,1894-01-16,DUI,Nederlandsch Lyrisch Tooneel
960380,K.V.O. programmas 1893-97_00073-20211201_114447.jpg,1893-1897,Pelops,1894-01-18,TSJ,Nederlandsch Lyrisch Tooneel
958984,K.V.O. programmas 1893-97_00075-20211201_114513.jpg,1893-1897,Liederik,1894-01-23,NL,Nederlandsch Lyrisch Tooneel
535174,K.V.O. programmas 1893-97_00079-20211201_114550.jpg,1893-1897,Tantalus,1894-01-25,TSJ,Nederlandsch Lyrisch Tooneel
888402,K.V.O. programmas 1893-97_00081-20211201_114641.jpg,1893-1897,De Vliegende Hollander,1894-02-01,DEE,Nederlandsch Lyrisch Tooneel
566488,K.V.O. programmas 1893-97_00083-20211201_114701.jpg,1893-1897,De Vliegende Hollander,1894-02-06,DEE,Nederlandsch Lyrisch Tooneel
439743,K.V.O. programmas 1893-97_00083-20211201_114701.jpg,1893-1897,De Vliegende Hollander,1894-02-08,DEE,Nederlandsch Lyrisch Tooneel
820796,K.V.O. programmas 1893-97_00085-20211201_114719.jpg,1893-1897,De Vrijschutter,1894-02-13,DUI,Nederlandsch Lyrisch Tooneel
